AAT,阿勒泰
ACX,兴义
AEB,百色
AKA,安康
AKU,阿克苏
AOG,鞍山
AQG,安庆
AVA,安顺
BAV,包头
BFU,蚌埠
BHY,北海
BX,昌都
BSD,保山
CAN,广州
CGD,常德
CGO,郑州
CGQ,长春
CHG,朝阳
CHW,酒泉
CIF,赤峰
CIH,长治
CKG,重庆
CNI,长海
CSX,长沙
CTU,成都
CYI,嘉义
CZX,常州
DAT,大同
DAX,达县
DDG,丹东
DIG,迪庆
DLC,大连
DLU,大理
DNH,敦煌
DOY,东营
DQA,大庆
DSN,鄂尔多斯
DYG,张家界
ENH,恩施
ENY,延安
FOC,福州
FUG,阜阳
FYN,富蕴
FUO,佛山
GHN,广汉
GOQ,格尔木
HAK,海口
HDG,邯郸
HEK,黑河
HET,呼和浩特
HFE,合肥
HGH,杭州
HIA,淮安
HJJ,怀化
HLD,海拉尔
HLH,乌兰浩特
HLN,花莲
HMI,哈密
HNY,衡阳
HRB,哈尔滨
HSN,舟山
HTN,和田
HYN,台州
HZG,汉中
HZH,黎平
INC,银川
IQM,且末
IQN,庆阳
JDZ,景德镇
JGN,嘉峪关
JHG,景洪
JIL,吉林
JIU,九江
JJN,晋江
JMU,佳木斯
JNG,济宁
JNZ,锦州
JUZ,衢州
JZH,九寨沟
KCA,库车
KGT,康定
KHG,喀什
KHH,高雄
KHN,南昌
KJI,布尔津
KMG,昆明
KOW,赣州
KRK,克拉科夫
KRL,库尔勒
KRY,克拉玛依
KWE,贵阳
KWL,桂林
LDS,伊春
LHW,兰州
LJG,丽江
LLB,荔波
LLF,永州
LNJ,临沧
LUM,芒市
LXA,拉萨
LYA,洛阳
LYG,连云港
LYI,临沂
LZH,柳州
LZO,泸州
LZY,林芝
MDG,牡丹江
MIG,绵阳
MXZ,梅县
NAO,南充
NAY,北京南苑
NBS,长白山
BAS,长白山
NDG,齐齐哈尔
NGB,宁波
NKG,南京
NLT,那拉提
NNG,南宁
NNY,南阳
NTG,南通
NZH,满洲里
OHE,漠河
EK,北京
VG,上海浦东
ZI,攀枝花
SHA,上海虹桥
SHE,沈阳
SH,秦皇岛
SHS,沙市
SJW,石家庄
SWA,揭阳
SYM,普洱
SYX,三亚
SZV,苏州
SZX,深圳
TAO,青岛
TCG,塔城
TCZ,腾冲
TEN,铜仁
TGO,通辽
THQ,天水
TNA,济南
TNH,通化
TNN,台南
TE,台北桃园
TSA,台北松山
TSN,天津
TVS,唐山
TTG,台东
TXG,台中
TXN,黄山
TYN,太原
URC,乌鲁木齐
UYN,榆林
WEF,潍坊
WEH,威海
WNH,文山
WNZ,温州
WUA,乌海
WUH,武汉
WUS,武夷山
WUX,无锡
WUZ,梧州
WXN,万州
XFN,襄阳
XIC,西昌
XIL,锡林浩特
XIY,西安
XIY,西安
XMN,厦门
XNN,西宁
XUZ,徐州
YB,宜宾
YCU,运城
YIH,宜昌
YIN,伊宁
YIW,义乌
YNJ,延吉
YNT,烟台
YNZ,盐城
YUS,玉树
ZAT,昭通
ZHA,湛江
ZHY,中卫
ZUH,珠海
ZYI,遵义
JXA,鸡西
GYS,广元
YIE,阿尔山
ERL,二连浩特
RLK,巴彦淖尔
YTY,扬州
JGS,井冈山
JIQ,黔江
GYU,固原
AEB,百色
GYU,固原
HZH,黎平
ZQZ,张家口
LCX,龙岩
JGD,加各达奇
TLQ,吐鲁番
BL,博乐
NGQ,阿里
RKZ,日喀则
YZY,张掖
JIC,金昌
BFJ,毕节
YIC,宜春
AXF,阿拉善左旗
RHT,阿拉善右旗
EJN,额济纳旗
JUH,九华山
GXH,夏河
DCY,稻城
KJH,凯里
HG,神农架
FYJ,抚远
KJI,喀纳斯
HCJ,河池
